filename,cluster,x,y
A. A. Grib_2008_How to play macroscopic quantum game_intro.txt,-1,4.3005195,2.0085027
A. A. Zhukov_2018_Quantum communication protocols as a benchmark for_intro.txt,7,1.0721222,2.1862583
A. A. Zhukov_2023_Quantum error mitigation in the regime of high noi_intro.txt,4,-2.166519,3.7086272
A. Aghamohammadi_1995_On the Classification of quantum qroup stuctures o_intro.txt,2,3.9416823,5.1864614
A. B. Sainz_2017_A formalism for steering with local quantum measur_intro.txt,9,2.4688075,5.0048547
A. Bermudez_2017_Assessing the progress of trapped-ion processors t_intro.txt,17,1.4740472,7.9754987
A. Bermudez_2018_Fault-tolerant protection of near-term trapped-ion_intro.txt,-1,0.19431587,5.649182
A. Blaut_1997_The Time Evolution of Quantum Universe in The Quan_intro.txt,6,4.3353972,4.123697
A. Bolt_2016_Foliated Quantum Codes_intro.txt,30,-0.13573468,8.710656
A. Bolt_2018_Decoding Schemes for Foliated Sparse Quantum Error_intro.txt,30,-0.18613443,8.872266
A. Chalkiadakis_2023_Exploring Quantum Neural Networks for the Discover_intro.txt,4,-2.1660664,3.2883837
A. Chiesa_2018_Quantum hardware simulating four-dimensional inela_intro.txt,-1,0.3863881,4.5000076
A. D. Córcoles_2014_Detecting arbitrary quantum errors via stabilizer _intro.txt,-1,0.5842812,6.4057055
A. Ekert_1996_Error Correction in Quantum Communication_intro.txt,31,-1.3548152,8.19029
A. Ekert_1999_Against Quantum Noise_intro.txt,-1,-0.93757313,6.555136
"A. J. Scott_2003_Multipartite entanglement, quantum-error-correctin_intro.txt",13,2.3408964,2.464439
A. J. Scott_2004_Probabilities of failure for quantum error correct_intro.txt,30,-0.5106464,8.628542
A. K. Aiston_1997_A skein theoretic proof of the hook formula for qu_intro.txt,0,5.910243,3.203418
A. M. Steane_2003_Quantum Computing and Error Correction_intro.txt,27,-1.0885829,7.3734264
A. M. Stephens_2006_Gate-level simulation of logical state preparation_intro.txt,29,0.27003974,6.859882
A. M. Stephens_2007_Universal fault tolerant quantum computation on bi_intro.txt,29,0.36712527,7.3111377
A. Myerson_2008_High-fidelity readout of trapped-ion qubits_intro.txt,22,0.4492896,5.4254208
A. R. Calderbank_1995_Good Quantum Error-Correcting Codes Exist_intro.txt,30,-0.5681171,8.808938
A. R. Calderbank_1996_Quantum Error Correction and Orthogonal Geometry_intro.txt,30,-0.38588405,9.167736
A. R. Calderbank_1996_Quantum Error Correction via Codes over GF(4)_intro.txt,30,-0.5108397,9.4217615
A. R. Gover_1997_Geometry of Quantum Homogeneous Vector Bundles and_intro.txt,0,5.783803,3.3300045
A. Shabani_2009_Maps for general open quantum systems and a theory_intro.txt,25,-1.6750677,7.5035176
A. V. Fedorova_2019_Super-quantum discord in ferromagnetic and antifer_intro.txt,-1,2.6836433,3.6220477
A. Y. Shiekh_2005_The role of Quantum Interference in Quantum Comput_intro.txt,5,1.7897265,1.694839
A. Ya. Kazakov_2007_Elementary constructive approach to the higher-ran_intro.txt,31,-1.1177458,9.157804
A. Ya. Kazakov_2007__Partial_ quantum cloning and quantum cloning of t_intro.txt,13,1.6649698,2.485553
A. Yu. Kitaev_1997_Fault-tolerant quantum computation by anyons_intro.txt,14,0.9413173,3.5261776
Aaqib Ali_2024_Optimal and robust error filtration for quantum in_intro.txt,24,-2.4031782,5.4357843
Aaron Conlon_2022_Compatibility of Braiding and Fusion on Wire Netwo_intro.txt,0,5.265997,3.4282646
Abbas B. Ziad_2024_Local Clustering Decoder- a fast and adaptive hard_intro.txt,18,2.013414,9.407546
Abdallah Slaoui_2022_Intrinsic relationships of Quantum Resource Theori_intro.txt,2,3.4203587,4.8532557
Abdualazem Fadol_2022_Application of Quantum Machine Learning in a Higgs_intro.txt,4,-2.343653,2.7188125
Abdullah Ash Saki_2023_Hypothesis Testing for Error Mitigation- How to Ev_intro.txt,24,-1.3579812,5.8415465
Abdullah Dertli_2014_On Quantum Codes Obtained From Cyclic Codes Over F_intro.txt,30,-0.40028888,9.397467
Abhi Kumar Sharma_2024_Fault-Tolerant Quantum LDPC Encoders_intro.txt,-1,0.39636332,8.17772
Abhinav Awasthi_2024_Cryptography- Classical versus Post-Quantum_intro.txt,5,1.5266479,1.0998676
Abhishek Agarwal_2023_Modelling non-Markovian noise in driven supercondu_intro.txt,-1,-0.43681967,5.8077216
Abid Khan_2024_Quantum Hardware-Enabled Molecular Dynamics via Tr_intro.txt,-1,-1.7309909,3.8428862
Abraham Itzhak Weinberg_2024_Zero Trust Implementation in the Emerging Technolo_intro.txt,5,1.3503379,1.0872165
Abtin Molavi_2023_Dependency-Aware Compilation for Surface Code Quan_intro.txt,17,1.7192982,8.045638
Adam Brownstein_2017_The locality of quantum subsystems III- A 'subsyst_intro.txt,12,3.7573328,3.21656
Adam Burgess_2022_Quantum Reservoir Computing Implementations for Cl_intro.txt,-1,-1.2262889,3.161459
Adam Callison_2019_Finding spin-glass ground states using quantum wal_intro.txt,1,0.22819617,1.7924925
Adam D. Bookatz_2012_Testing quantum expanders is co-QMA-complete_intro.txt,-1,2.15786,3.5462742
Adam Miranowicz_2003_An Introduction to Quantum Teleportation_intro.txt,13,1.8990563,2.5747063
Adam Paetznick_2011_Fault-tolerant ancilla preparation and noise thres_intro.txt,26,0.26860425,7.9300795
Adam Paetznick_2013_Quantum circuit optimization by topological compac_intro.txt,17,1.5767493,8.135149
Adam Paetznick_2013_Universal fault-tolerant quantum computation with _intro.txt,22,0.8454427,5.8112164
Adam Paetznick_2014_Resource optimization for fault-tolerant quantum c_intro.txt,2,3.7128117,5.0853004
Adam Siegel_2022_Adaptive surface code for quantum error correction_intro.txt,17,1.4279175,8.687191
Adam Siegel_2023_Algorithmic error mitigation for quantum eigenvalu_intro.txt,24,-1.7772121,5.8124657
Adam Taylor_2024_Quantum error cancellation in photonic systems -- _intro.txt,-1,-1.8561873,6.280053
Aditi Sen De_2011_Quantum Advantage in Communication Networks_intro.txt,16,2.5933542,2.3033092
Aditya Ahuja_2017_A Quantum-Classical Scheme towards Quantum Functio_intro.txt,5,1.5780451,1.1103216
Adrian Hutter_2014_Breakdown of Surface Code Error Correction Due to _intro.txt,17,1.1205556,8.616572
Adrian Skasberg Aasen_2023_Readout error mitigated quantum state tomography t_intro.txt,24,-1.0097972,6.049963
Agnes Valenti_2019_Hamiltonian Learning for Quantum Error Correction_intro.txt,-1,-2.0972722,4.673708
Ahmad Farooq_2021_Matrix-Completion Quantum State Tomography_intro.txt,24,-1.0907217,5.5236793
Ahmed Adel Mahmoud_2025_A Systematic Approach to Hyperbolic Quantum Error _intro.txt,30,-0.4802947,8.903102
Ahmed Almheiri_2014_Bulk Locality and Quantum Error Correction in AdS-_intro.txt,6,4.8119936,4.5763087
Ahmed Almheiri_2018_Holographic Quantum Error Correction and the Proje_intro.txt,6,4.8349776,4.62819
Ahmed M. Elmisery_2025_Cyber Threats in Financial Transactions -- Address_intro.txt,5,1.4024327,1.0707519
Ahmet Orun_2023_The lower energy consumption in cryptocurrency min_intro.txt,5,1.0776391,1.213793
Aidan Pellow-Jarman_2021_Near Term Algorithms for Linear Systems of Equatio_intro.txt,14,-1.5236064,3.777679
Akash Kundu_2024_Reinforcement learning-assisted quantum architectu_intro.txt,4,-1.4892867,2.564295
